Date,Open,High,Low,Close,Volume,Average,Barcount
2015-09-25,108.49,110.82,107.44,109.81,20789757.0,109.28,104271
2015-10-02,108.37,109.32,106.47,108.99,22271724.0,107.913,111438
2015-10-09,109.14,111.05,108.46,110.87,25279352.0,109.782,122897
2015-10-16,111.67,113.99,111.01,112.49,28683823.0,112.798,132655
2015-10-23,112.64,113.09,110.96,111.5,19082651.0,111.966,91074
2015-10-30,111.73,113.25,109.06,109.3,19711465.0,110.95,93476
2015-11-06,108.64,108.84,104.02,104.1,26066466.0,106.344,109828
2015-11-13,104.29,104.65,103.04,103.56,16597389.0,103.934,73419
2015-11-20,103.98,104.09,101.98,103.09,20942556.0,102.961,93889
2015-11-27,102.48,103.25,100.99,101.25,12466600.0,102.202,57943
2015-12-04,101.53,104.21,100.53,104.02,31473768.0,102.103,138919
2015-12-11,103.32,103.66,101.85,103.11,21339930.0,102.843,100841
2015-12-18,102.67,103.2,100.23,102.04,31304223.0,101.76,140995
2015-12-24,102.95,103.52,102.21,103.05,11804144.0,102.921,56096
2015-12-31,102.48,102.6,101.31,101.46,11260112.0,101.879,54200
2016-01-08,103.13,106.24,102.48,105.68,32024095.0,104.727,146851
2016-01-15,105.47,105.57,102.49,104.08,32244999.0,104.11,151387
2016-01-22,104.06,106.16,103.65,105.0,20799241.0,105.031,105045
2016-01-29,105.76,107.93,105.6,106.95,30859063.0,106.772,142037
2016-02-05,107.54,112.35,107.35,112.32,48166102.0,109.501,220612
2016-02-12,113.67,120.84,112.98,118.36,97703476.0,116.678,420626
2016-02-19,116.0,118.6,114.74,117.58,42897400.0,116.556,192379
2016-02-26,115.44,119.86,115.41,117.11,48799785.0,117.508,206521
2016-03-04,117.59,122.37,117.34,120.54,53067599.0,119.513,224117
2016-03-11,121.18,121.88,118.84,119.41,47394372.0,120.703,183503
2016-03-18,120.27,121.18,117.34,119.8,49116785.0,119.158,207879
2016-03-24,119.0,120.16,116.16,116.33,29065359.0,117.589,123929
2016-04-01,116.73,118.81,115.55,116.93,39439778.0,117.389,171499
2016-04-08,116.67,118.85,115.0,118.43,34332295.0,117.685,157818
2016-04-15,119.47,120.35,116.95,117.92,39390343.0,118.767,171657
2016-04-22,118.53,120.55,117.28,117.89,44492536.0,119.134,186740
2016-04-29,118.14,123.93,118.11,123.65,38349601.0,120.893,179028
2016-05-06,123.78,123.96,121.25,123.18,40295304.0,122.857,187421
2016-05-13,121.2,122.39,120.08,121.71,33870641.0,121.259,153502
2016-05-20,122.93,122.97,118.92,119.71,39920191.0,120.725,173376
2016-05-27,118.86,119.6,115.29,115.62,36723093.0,117.27,158704
2016-06-03,115.76,118.89,115.2,118.88,28044628.0,116.897,120384
2016-06-10,118.89,122.1,118.41,121.74,40358256.0,120.462,163564
2016-06-17,122.8,125.67,122.03,123.95,64859931.0,123.284,260657
2016-06-24,122.26,126.82,120.09,126.01,57941237.0,123.242,239243
2016-07-01,126.44,128.42,125.06,128.41,61586357.0,126.43,249340
2016-07-08,128.8,131.15,128.17,130.52,54499972.0,129.697,230797
2016-07-15,129.49,129.9,126.03,126.84,51936485.0,127.785,197694
